vehicle,path
333,71-15-26
334,17-14-5-36
335,17-38
336,4-13-61
337,74-100-36
338,67-15-54
339,48-75-37-79
340,85-38-71
341,81-42-34-45
342,59-28-87
343,87-56
344,21-54
345,12-70-4
346,27-17-19-99
347,6-4-13
348,54-82-24
349,94-34-3-6
350,4-26-14-65
351,13-26-23
352,46-100-19
353,94-57-9
354,32-74-11
355,51-63-59
356,5-33-69
357,15-54-40
358,99-60-48
359,97-66-69
360,1-2
361,96-49-33
362,64-28-2-98
363,87-56-59
364,46-13-26
365,52-30-53
366,49-99-17-35
367,67-15-54
368,14-65-13
369,3-42-14
370,31-15
371,71-81-9-94
372,21-54-74
373,68-50-17
374,97-81-17-19
375,10-51-74
376,68-36-16
377,45-10-24
378,87-56-97
379,18-4-26
380,70-33-67
381,84-7-2-98
382,95-17-38
383,69-1-2
384,50-71-15-25
385,62-77-84
386,58-50-77
387,4-15-12
388,94-14-80
389,69-34-12-92
390,68-36-61
391,22-97-8-95
392,66-31-2-83
393,40-58-67
394,66-18-58
395,11-35
396,66-100-36-16
397,100-1-61
398,5-32
399,98-26-50-87
400,41-6-100
401,88-76
402,79-12-10
403,57-24-1-29
404,74-11
405,88-4-66
406,41-50-77
407,33-85-38-93
408,67-64-44
409,81-22-91
410,77-84-19-88
411,80-36-32
412,44-87
413,82-24-1-38
414,13-33-30
415,55-49-65
416,1-2-4-33
417,33-67-64
418,37-13-61
419,40-49-24-57
420,70-30-20-39
421,39-75-7-55
422,45-69-60
423,24-57-55
424,38-78-45
425,23-26-7-2
426,8-37-13-59
427,61-7-1-17
428,67-83-65
429,62-76
430,47-4-10-51
431,38-89-55
432,87-32-96
433,52-72-85
434,48-40-5-92
435,3-43-12-82
436,35-11
437,39-75-15
438,40-30-53
439,59-24-25
440,54-60-48
441,61-7-40
442,77-9-55
443,82-27-75
444,96-6-20-53
445,2-83
446,20-23-44
447,1-38-90
448,65-8
449,90-67-96
450,25-8-66
451,93-92-32-39
452,7-30-20
453,94-57-48
454,36-6-20
455,11-95-17
456,49-45-10-62
457,26-24-20-53
458,29-58-68
459,31-62-92-93
460,81-9-54
461,54-75-59
462,32-57-9
463,62-5-33-72
464,72-87-8-40
465,28-2-98
466,42-5-83
467,13-33-30-53
468,19-4-13
469,69-1-17-86
470,19-38-80
471,53-17-19
472,71-15-30
473,11-21-80
474,57-72-19
475,26-14-5-92
476,97-9-43
477,49-65-19-9
478,81-79-12-82
479,56-40-38
480,5-32-53
481,64-11-34-12
482,96-28-1
483,61-64
484,82-20-39-52
485,89-43-8-60
486,23-70-80
487,22-91-14-65
488,62-88-4-18
489,42-9-6-37
490,84-7-22-91
491,91-34-3-77
492,36-56
493,24-50-26
494,79-65-53-31
495,28-35-74
496,83-65-86
497,43-68
498,67-50-81
499,10-77
500,63-53-2-15
501,46-92-9-43
502,59-24-36-16
503,17-86-24
504,74-11-87
505,87-53-48
506,22-9-54
507,10-36-23-18
508,3-87-32
509,65-10-24
510,61-21
511,55-28-64
512,24-50-26
513,40-38-2-64
514,60-87-6
515,50-71-15
516,99-34-28
517,14-65-60
518,70-14-68
519,41-78-45
520,43-49-45
521,72-73
522,70-69-1-2
523,100-1-2-35
524,13-54-82
525,11-87-1-61
526,73-42-34
527,58-25-91
528,28-84-16-78
529,8-36-27
530,9-49-65
531,90-88-60
532,20-23-41
533,33-56-37
534,23-35
535,36-16-10-62
536,7-93-34-45
537,52-46-11-84
538,7-58-67
539,81-58-25-7
540,24-42-14-65
541,55-28
542,89-43-8-60
543,66-69
544,54-82-24
545,33-18-46
546,34-3-6-20
547,67-96-6
548,100-1-38
549,67-96-6-37
550,56-41-6-100
551,74-49-45
552,47-29-34
553,7-22-9-59
554,57-9
555,96-19-97
556,18-61-64
557,70-80-76
558,21-41-4-18
559,54-42-41
560,10-44-3-43
561,46-5-83
562,76-24-1
563,35-83-31
564,67-52-99
565,80-57-48
566,93-92-32-39
567,24-42-34-12
568,40-30-98
569,16-11-34-3
570,100-74
571,93-3-77
572,54-4-15-25
573,85-73-14-68
574,53-2-4-10
575,63-50-26
576,9-85-79
577,76-21-11-87
578,13-61
579,83-59-51
580,79-100-36-16
581,71-15-25-7
582,4-15-12
583,31-15-26-23
584,27-17-35
585,37-32-39
586,9-74-11-35
587,94-57-24
588,56-40-51
589,31-2-83
590,40-38-28
591,45-74-11-95
592,61-94-88
593,52-1-17
594,92-53-17-79
595,50-81-58
596,100-36-32-57
597,86-8-40
598,21-90-10-51
599,94-40
600,12-21-54
601,82-63
602,39-58-68
603,88-4-54
604,87-1-2-73
605,81-42-4-15
606,80-1-2-22
607,31-54-82
608,9-49-33
609,41-43-12-3
610,18-47-16
611,70-64-23
612,35-55-96
613,98-97-58
614,65-10-94
615,83-39-58
616,14-17-38-48
617,87-32
618,93-3-1-61
619,49-99-14
620,61-21-90
621,77-12-83
622,18-92-32
623,51-50-96
624,40-5-83
625,15-30-33-67
626,37-13
627,7-38-48
628,3-44-10-51
629,14-49-24
630,97-8
631,55-7-38-78
632,97-46-13
633,44-65-60
634,32-67-94
635,51-65-19-88
636,44-87-34-28
637,11-87-86
638,65-53-1
639,22-1-2
640,62-87-1-61
641,66-56-37
642,16-37-32-39
643,7-55-57
644,79-12-24-20
645,46-53-2-22
646,6-4-13-49
647,100-36-16-76
648,6-4-10-62
649,70-30
650,99-56-44
651,24-42-4-18
652,15-25-8
653,13-38-37-79
654,31-2-4-27
655,11-23-18
656,7-30-62
657,51-63-64
658,100-36-23
659,82-24
660,62-26-23
661,31-2-4-18
662,63-74-66
663,53-21-85
664,43-1-2-73
665,14-80
666,89-41
667,45-36-66
668,20-24-36
669,37-32-53
670,42-49
671,83-54-4-18
672,74-92-32-39
673,77-10-97
674,2-15-25
675,42-14
676,49-24-42
677,2-73-80
678,26-83-59
679,77-28-69
680,14-17-19
681,54-87-62
682,22-9-49-33
683,2-35-11-84
684,25-99-63
685,98-43-20
686,81-58-25-7
687,96-6-4-5
688,49-24-1-38
689,11-23-4-27
690,55-49-65
691,46-10-24-50
692,85-46-5-27
693,10-36-61-15
694,49-65-13
695,16-11-87
696,33-69-25
697,74-66
698,48-52-46-82
699,38-19-62
700,40-5-86
701,46-82-8-40
702,79-65-19-96
703,90-91-14
704,96-28-35-11
705,79-65-8-66
706,32-57-95
707,69-34-10-81
708,44-65-8
709,26-24-20-28
710,85-57-9-94
711,4-26
712,91-85-79
713,47-39-83
714,64-41-50
715,66-18-47-39
716,90-85-46
717,64-23
718,62-92-89
719,7-55-6-46
720,52-43-8-89
721,16-11
722,74-19-99
723,52-99-34-45
724,69-60-4-5
725,5-36-6-4
726,9-6-75
727,72-2-4-66
728,8-95-81
729,8-60-11
730,2-4
731,96-68-51
732,74-92-32-39
733,36-23-18-47
734,30-33-18-100
735,35-34-3-98
736,78-40-95
737,67-76-79
738,19-100-36
739,18-73-42
740,10-77-9-55
741,67-50-84
742,77-28-7
743,27-75-43
744,3-19-9
745,9-52
746,97-83-90
747,30-53-17-79
748,77-21-11-23
749,63-50-98
750,39-58-67
751,21-80-1-2
752,13-26
753,62-5-27
754,78-26-7
755,65-19-96
756,54-60-48
757,5-83-90
758,97-41-4-33
759,80-76-13
760,30-53-48
761,98-43-12
762,61-15-49
763,59-28-7-93
764,75-43-53
765,82-46-10-62
766,66-100-36-16
767,13-33-5
768,34-12
769,93-38-2-60
770,23-4-10
771,44-3-56
772,44-87-32-39
773,62-5-17
774,95-80-20-28
775,25-7-93
776,13-26-14-68
777,20-24-50
778,89-43-1-2
779,65-19-100
780,29-58-68
781,82-36-32
782,87-62-88
783,85-38-26
784,92-9-55
785,26-70-64
786,76-36-23
787,47-73-2-98
788,85-38-75
789,73-59-56
790,78-26-19
791,66-18-6
792,18-4-33
793,55-10-62-76
794,99-14-27
795,94-21-54
796,5-83-73
797,17-35-11
798,14-70-69
799,73-2-4-10
800,82-36-97
801,22-9-49
802,51-65-60-16
803,85-38-2-35
804,74-42
805,55-10-62-76
806,60-75
807,51-30-62
808,30-33-21-11
809,57-24-36-16
810,69-34-10
811,88-28-7-58
812,64-19-88
813,77-10-44
814,47-36-56
815,1-17-86-82
816,25-60-75
817,73-78-89
818,100-19-34-28
819,10-24-20
820,41-59-23-88
821,81-97-66
822,21-90-5-32
823,56-44-75
824,74-42-54-82
825,19-70-69
826,36-16-38
827,79-65-8-54
828,56-97-25-53
829,1-29-9-85
830,77-84
831,4-13-84
832,75-7-2
833,21-54-75
834,96-68-76
835,37-64-14-68
836,33-67-76
837,15-12-21-85
838,31-2-60-48
839,88-33-51
840,100-19-4-13
841,37-32-39
842,45-49-65
843,73-80-79
844,89-55-7-22
845,60-26-14
846,40-58-67
847,42-80-1
848,70-4-18
849,1-29-34-3
850,62-5-17
851,36-27-17-19
852,80-20-39
853,10-21-41
854,59-23-88
855,49-33-56-52
856,65-60-73
857,7-58-25-11
858,58-68-23
859,57-92-32-71
860,57-9-6
861,61-15-49
862,68-23-26-60
863,81-13-61
864,27-75-44-3
865,83-54-33
866,50-48-2-64
867,8-2-15
868,6-4-18-70
869,34-3-6-75
870,79-65-19-99
871,71-18-4-21
872,79-12-83
873,52-30-53
874,45-53-1-38
875,15-46-13
876,33-51-74
877,44-10-24
878,9-58-38
879,23-26-7
880,60-73-81
881,74-66-50-77
882,100-74
883,94-40-30
884,65-19-4-18
885,43-1-2-64
886,64-41-50
887,79-12-71-18
888,12-24-69
889,41-6-100
890,84-75
891,39-54-74
892,58-50-96
893,59-23-4-21
894,19-70-57
895,37-7-2-98
896,34-28-17
897,3-35-71
898,3-13-59
899,84-75-59
900,28-87-70
901,52-75-7-93
902,30-53-17-79
903,95-80-6
904,26-14-5-86
905,43-20-23
906,88-4-38
907,85-46-13-47
908,19-9-49
909,81-9-10-44
910,46-10-94
911,49-24-36-71
912,14-70-64
913,9-58-5
914,73-2-22-91
915,50-26-22-91
916,44-75-37-79
917,73-80-1
918,77-9-6
919,16-11-23
920,62-26-14
921,14-62-40
922,76-13-38-93
923,66-50-48
924,96-28-2
925,7-1-29
926,6-4-5
927,29-70-4
928,27-17-38-28
929,25-59-28
930,91-85-79
931,25-61-98
932,28-1-38
933,76-57-9-43
934,45-36-6-85
935,78-59-27
936,7-2-60-16
937,49-65-86
938,4-5
939,7-30-62
940,91-85-57
941,14-17-35
942,54-87-32
943,42-41-78
944,35-42-9
945,90-9-24
946,3-35-74
947,67-64-9-55
948,97-46-13
949,57-92-89
950,94-40
951,6-8-2-83
952,42-80-79
953,27-26-24-20-63
954,74-66-50
955,99-34-3-98
956,26-7-2-15
957,66-73
958,57-72-19-34
959,47-63-53-31
960,98-43-8-95
961,61-98-97
962,35-74-19
963,12-3
964,16-38-2-73
965,23-35-42
966,26-19-9
967,86-24-69
968,57-55
969,53-2-99
970,12-71-23
971,87-56-41
972,73-14-55
973,7-38-80
974,71-81-9-55
975,55-10-62
976,9-52-23
977,46-21-85
978,49-99-43
979,17-31-15
980,95-67
981,85-38-2-22
982,67-50-5-10
983,47-16-11-87
984,42-13-47
985,66-100-75
986,55-7-30
987,7-1-17-79
988,52-43-12
989,81-76-36
990,46-82-98
991,6-4-10-80
992,79-12-24-50
993,21-11-34
994,26-19-88
995,17-14-55
996,34-10-62-76
997,52-1-2
998,21-41-4-13
999,88-4-66
1000,88-28-17
1001,88-4-26
1002,24-57-95
1003,46-10-24-57
1004,99-60-16-76
1005,78-40-56
1006,3-56
1007,7-55-10
1008,47-63-35
1009,91-21-47-29
1010,54-40
1011,50-5-10-80
1012,11-38
1013,66-18-46
1014,83-39-40
1015,39-6-4-10
1016,78-45
1017,97-9-6-20
1018,21-80-19
1019,53-2-4-10
1020,29-100-36
1021,80-76
1022,58-38-28
1023,64-14-5-32
1024,80-19-65
1025,40-30-20
1026,92-93-12-90
1027,54-87-53
1028,16-45
1029,70-33-56
1030,80-1-17
1031,32-91-14-62
1032,86-8-37
1033,91-21-90
1034,28-17
1035,99-40-51
1036,15-25-60
1037,21-41-4
1038,19-38-37
1039,90-9-74
1040,66-31-2-83
1041,16-37-32
1042,45-10-80
1043,62-5-97
1044,9-58-5-86
1045,89-43-12
1046,81-9-74
1047,51-42-5-32
1048,97-99
1049,42-49
1050,99-46-13
1051,67-83-73
1052,64-19-4-33
1053,17-19-100
1054,89-43-12-98
1055,43-8-66
1056,17-19-4-13
1057,2-15-69
1058,56-44-10
1059,53-93-3
1060,72-2-83
1061,90-10-21
1062,8-40-38
1063,74-66-18-98
1064,19-34
1065,86-81-30
1066,82-36-92
1067,55-99-34-12
1068,72-19-62-76
1069,32-49-99
1070,48-2-22-91
1071,83-54-4-66
1072,46-5-32
1073,36-23-26
1074,50-77-12-82
1075,83-90-88
1076,34-25-53
1077,18-43-25
1078,72-2-15-12
1079,83-90-9
1080,11-38-2-72
1081,24-42-9-43
1082,15-25-91
1083,35-74
1084,46-82-20
1085,75-44-10-62
1086,66-56-44
1087,63-64-58
1088,36-27-74
1089,85-73-81
1090,48-75-85
1091,98-26
1092,64-19-4
1093,13-54-74
1094,68-51-11
1095,33-5-32
1096,69-1
1097,7-40-69
1098,18-95-17
1099,86-8-66
1100,23-18-100
1101,84-43-8
1102,28-87-8
1103,65-8-2-35
1104,70-35-87
1105,52-30-22
1106,31-15-56-37
1107,22-97-25-7
1108,4-10-77
1109,31-2-41
1110,66-31-62-76
1111,94-34-25-91
1112,88-59-24
1113,77-10-81
1114,79-12-3-6
1115,67-83-90
1116,27-74-66
1117,91-23-88
1118,68-22-1
1119,57-95-17
1120,12-83-39
1121,45-53-1-38
1122,47-36-23
1123,87-32-39
1124,55-6-4-13
1125,39-40-42
1126,98-97-81
1127,12-38-48
1128,43-1-2
1129,5-32-43
1130,74-11-34-3
1131,92-97
1132,29-81-13
1133,86-8-36-71
1134,30-98
1135,92-53-83
1136,76-79-12-70
1137,81-13-84
1138,2-99
1139,97-99-63
1140,73-59-56
1141,31-42-34-63
1142,83-54
1143,29-61-64
1144,88-16-45
1145,12-28-2-22
1146,71-81-13
1147,55-7
1148,10-36-27
1149,25-60-4-5
1150,2-15-25-57
1151,47-29
1152,31-2-83
1153,60-87-8
1154,30-20-23
1155,30-62-74
1156,75-60
1157,5-97-25-7
1158,91-23-88
1159,86-27-17-19-88
1160,67-94-34
1161,60-11-35
1162,90-85-99
1163,19-34-63
1164,8-54
1165,24-50-84
1166,80-1-29
1167,4-18-43
1168,59-27
1169,100-1-17-79
1170,86-81-58
1171,53-2-4-66
1172,7-38-26
1173,84-16-11-23
1174,60-4-13-49
1175,12-27-74
1176,10-24-20-53
1177,91-23-4
1178,67-50-87
1179,83-54-28-7
1180,88-19-96
1181,58-8-93-3
1182,52-23-70
1183,44-57-9
1184,32-57-92
1185,44-3-47
1186,78-26-14
1187,61-7-2-35
1188,90-5-17
1189,45-36-23-18
1190,61-21-11-95
1191,64-11-34-45
1192,60-37-79
1193,71-59-64
1194,24-42-14-68
1195,52-99-14
1196,11-34-10-24
1197,39-6-37-79
1198,49-33-18-98
1199,66-18-4-27
1200,96-28
1201,61-64-48
1202,75-85-99
1203,51-42-4-27
1204,64-41
1205,8-37-90
1206,26-7-1
1207,37-54-4
1208,48-61
1209,5-32-91
1210,15-12-24
1211,28-35-47
1212,98-97-46
1213,34-12-38-48
1214,49-99-63
1215,20-23-18-47
1216,62-88-16-45
1217,29-50-48
1218,21-54-60
1219,52-54
1220,1-17-86
1221,1-2-4-5
1222,22-27-84
1223,4-21-85
1224,11-87-1-29
1225,34-3-47
1226,81-9-10-44
1227,58-68-22
1228,52-54-40
1229,30-33-5
1230,94-34-28
1231,40-42-54-82
1232,9-24-1-29
1233,62-77-12-82
1234,12-21-54
1235,35-74-19-88
1236,51-58
1237,88-19-34-3
1238,50-96-68
1239,71-40-5
1240,100-36-6-46
1241,14-55-7-93
1242,28-17
1243,40-30-20-39
1244,43-1-2-73
1245,42-80-8-89
1246,91-14-68
1247,72-2-4-26
1248,61-59-14-68
1249,31-15-30
1250,83-31-2-72
1251,83-73
1252,1-38-87
1253,64-28-1
1254,6-8-2-72
1255,26-83
1256,6-4-5
1257,61-94-88
1258,69-60-26
1259,12-90-67
1260,39-52-81
1261,46-5-32-67
1262,37-90-10
1263,13-26-60
1264,42-9-55
1265,76-95-91
1266,8-2-41
1267,9-49-33
1268,36-6-75
1269,95-42
1270,67-83-65
1271,68-23-65
1272,37-64-89
1273,2-4-10-51
1274,64-14
1275,92-93-12
1276,62-88-16
1277,88-4-18
1278,73-2-64
1279,13-38-75
1280,91-34-25-53
1281,7-2-83
1282,54-74-100
1283,15-12-83
1284,2-96-70
1285,43-8-54
1286,30-20-63-45
1287,49-65-19-9
1288,58-8-40
1289,5-92
1290,13-47-29-81
1291,56-37-7-22
1292,35-47
1293,73-85-46-82
1294,66-69-25-7
1295,85-38-48-39
1296,70-4-5-86
1297,43-56-41
1298,68-9-6-8
1299,28-7-55
1300,31-42-87
1301,79-65-60
1302,45-36-23
1303,80-20-39
1304,83-39-6-46
1305,86-81-58
1306,92-84-16-76
1307,44-10
1308,32-91-89
1309,59-28-2
1310,61-15-12-3
1311,71-40
1312,69-25-53
1313,38-48-52
1314,44-65
1315,15-46-5
1316,90-10-77
1317,35-11-95
1318,16-11-34
1319,3-52
1320,65-13-38
1321,64-28-1
1322,35-47-39
1323,8-95-80
1324,41-6-8-60
1325,32-74-11
1326,68-9-85
1327,61-15-54
1328,37-90-85
1329,22-9-59
1330,99-56
1331,46-11
1332,69-1-17
1333,15-12-98
1334,49-24-20-23
1335,3-98
1336,51-42-54
1337,97-73-14
1338,39-6-4-10
1339,4-21
1340,4-38-93
1341,39-40-42
1342,17-62-40
1343,3-87-32
1344,76-13-61-15
1345,46-13-49
1346,29-70-14
1347,91-27-84
1348,12-38
1349,96-19-38
1350,32-53-48
1351,89-43-49-45
1352,61-64-19-100
1353,83-90-9-55
1354,99-17-19-9
1355,29-61
1356,97-8-36-16
1357,39-6-4
1358,39-20-30-98
1359,35-74-78
1360,55-99
1361,16-37-48
1362,56-54
1363,55-28-17
1364,77-9-24-25
1365,45-36
1366,31-2-83
1367,26-50-71
1368,20-23-18
1369,6-4-10-51
1370,35-42-14-68
1371,28-64-9-24
1372,97-92-84
1373,56-37-7-55
1374,35-87-1-17
1375,14-55-6-100
1376,45-36-16
1377,63-46-82
1378,49-33-21
1379,41-81-79
1380,100-74
1381,89-43-53-31
1382,63-70-33
1383,57-95-80
1384,63-35-47
1385,21-54-74
1386,40-38-2-15
1387,4-5-86
1388,48-2-72
1389,55-7-22-91
1390,23-26-14
1391,97-8-60
1392,91-54-60
1393,73-80-36
1394,54-82-46
1395,87-6-4
1396,14-27-75
1397,80-57-55
1398,13-33-18-6
1399,80-40-69
1400,28-35-47
1401,88-4
1402,95-81-97
1403,15-25-8-95
1404,47-39-52
1405,99-34-10
1406,49-33-67-76
1407,87-57-24-50
1408,59-14-17-31
1409,38-26-50
1410,29-34-25-53
1411,21-80-57
1412,77-78-45
1413,39-78-61
1414,52-46-92
1415,50-77-37
1416,58-8-2-73
1417,87-6-4-90
1418,99-46
1419,41-78-45
1420,83-65-61
1421,77-73-60
1422,58-50-81
1423,96-6-37-48
1424,21-41-6-100
1425,11-87-6
1426,86-24-1
1427,44-65
1428,85-99-40-30
1429,90-58-25
1430,7-40-5-32
1431,89-41-4-26
1432,45-53-2-4
1433,52-30-98
1434,63-59-23
1435,93-63-74
1436,2-4-10-77
1437,48-61-7-93
1438,69-60-4
1439,73-80-88
1440,70-30-53
1441,14-70-64
1442,30-20-23-65
1443,36-6-46-82
1444,81-42-34
1445,28-35-74
1446,22-97-25-53
1447,96-70-80
1448,1-29-100
1449,100-19-4-21
1450,68-9-6-100
1451,83-90-9
1452,30-22-1
1453,2-4-5
1454,74-11-35
1455,84-7-2-64
1456,75-7
1457,15-69-1
1458,76-13-94
1459,77-12-83
1460,66-41-81
1461,77-78-89
1462,85-38-71
1463,62-74-11
1464,9-54-40
1465,49-24-73
1466,8-60-47-29
1467,41-4-15-69
1468,41-43-12-3
1469,7-30-31
1470,35-55
1471,12-28-64
1472,81-58
1473,95-42-70
1474,8-93-3-1
1475,96-28-35-11
1476,53-54-87
1477,30-33-69
1478,8-93-12
1479,51-42-9-85
1480,80-67-15-25
1481,71-40-38-48
1482,6-4-15
1483,8-2-72
1484,41-4-33-67
1485,30-22
1486,24-42-87
1487,29-84-16-41
1488,81-30
1489,93-100-36-16
1490,41-4-27
1491,91-34-3
1492,33-56-59
1493,48-75-85
1494,23-35-55
1495,65-8-2-22
1496,98-26-19-4
1497,61-7-22
1498,36-66-31-42
1499,65-95-76
1500,13-26-19
1501,89-55-72
1502,51-11-87
1503,45-36-6-46
1504,59-14-83
1505,63-59-56
1506,8-2-64
1507,69-25-53
1508,25-35-47
1509,72-19-9-24
1510,83-31
1511,81-22-1-29
1512,56-44-57
1513,53-93-12
1514,15-12-92
1515,78-72-73
1516,28-2-41
1517,50-84-16
1518,29-58-8-89
1519,14-83
1520,63-53-2-73
1521,6-20-28
1522,75-73-41
1523,32-74-11
1524,1-17-19
1525,52-81-79
1526,5-33-72
1527,28-2-60
1528,71-18-4-90
1529,7-22-9-59
1530,84-94-21-47
1531,1-2-35
1532,25-8-95
1533,75-7-22-9
1534,32-67-94
1535,11-35-83
1536,37-13
1537,28-44-57
1538,85-38-87
1539,32-39-58
1540,79-92-32-91
1541,90-40-95
1542,44-3-43
1543,91-40-38
1544,38-19-9-94
1545,97-58-68
1546,9-43-12
1547,69-60-4-5
1548,50-87-57
1549,39-84-94
1550,64-9-85
1551,71-59-14-68
1552,1-17-14
1553,17-38-26
1554,72-19-88
1555,67-64-19
1556,97-99-34-28
1557,77-37-13
1558,96-68
1559,71-18-95
1560,30-22-27
1561,11-38-48
1562,79-12-28-64
1563,65-19-100
1564,5-36-16-11
1565,37-24-50
1566,96-6-20-39
1567,51-11-87
1568,44-57-48
1569,46-11-34-12
1570,21-54-28-64
1571,37-24-25-78
1572,37-7-1
1573,6-4-5-86
1574,77-84-19
1575,42-87-56
1576,83-31-42
1577,86-8-2-72
1578,22-1-38
1579,66-50-87
1580,48-35-74
1581,89-43-49-65
1582,22-9-10-80
1583,68-76
1584,61-7-2-4
1585,30-62-40
1586,14-70-94
1587,66-18-4-13
1588,32-67-98
