pair_id,source,destination,step,cur_node,event,best_cost,ar,path
10,5,9,1,9,OK,277.56,282.11,8-9
11,6,9,0,9,OK,152.50,164.95,6-9
12,7,0,0,3,OK,432.50,116.89,7-3-2-1-0
12,7,0,1,2,OK,432.50,216.89,7-3-2-1-0
12,7,0,2,1,TRIGGER_KEPT,432.50,340.33,7-3-2-1-0
12,7,0,3,0,OK,432.50,473.28,7-3-2-1-0
13,7,9,0,6,REROUTE,285.48,122.32,6-9
13,7,9,1,9,OK,285.48,290.87,6-9
14,8,1,0,4,OK,363.92,148.77,8-4-0-1
14,8,1,1,0,REROUTE,400.82,263.30,0-1
14,8,1,2,1,OK,400.82,409.26,0-1
15,9,0,0,8,OK,350.59,102.58,9-8-4-0
15,9,0,1,4,TRIGGER_KEPT,350.59,254.02,9-8-4-0
15,9,0,2,0,OK,350.59,355.40,9-8-4-0
16,9,3,0,6,OK,337.50,132.64,9-6-2-3
16,9,3,1,2,TRIGGER_KEPT,337.50,253.90,9-6-2-3
16,9,3,2,3,OK,337.50,353.90,9-6-2-3
0,0,9,0,4,TRIGGER_KEPT,484.25,160.21,0-4-8-9
0,0,9,1,8,TRIGGER_KEPT,484.25,360.38,0-4-8-9
0,0,9,2,9,OK,484.25,505.21,0-4-8-9
1,0,7,0,1,TRIGGER_KEPT,529.50,137.73,0-1-2-3-7
1,0,7,1,2,TRIGGER_KEPT,529.50,282.11,0-1-2-3-7
1,0,7,2,3,OK,529.50,398.04,0-1-2-3-7
1,0,7,3,7,OK,529.50,576.92,0-1-2-3-7
2,0,3,0,1,TRIGGER_KEPT,382.00,143.34,0-1-2-3
2,0,3,1,2,TRIGGER_KEPT,382.00,308.27,0-1-2-3
2,0,3,2,3,OK,382.00,426.82,0-1-2-3
3,1,8,0,5,TRIGGER_KEPT,252.50,123.64,1-5-8
3,1,8,1,8,OK,252.50,283.82,1-5-8
4,1,9,0,5,TRIGGER_KEPT,392.83,119.33,1-5-8-9
4,1,9,1,8,REROUTE,416.79,274.51,8-9
4,1,9,2,9,OK,416.79,421.20,8-9
5,2,8,0,6,OK,377.50,122.06,2-6-5-8
5,2,8,1,5,OK,377.50,243.59,2-6-5-8
5,2,8,2,8,OK,377.50,400.67,2-6-5-8
6,2,9,0,6,REROUTE,319.02,134.74,6-9
6,2,9,1,9,OK,319.02,338.10,6-9
7,3,9,0,2,OK,396.50,109.74,3-2-6-9
7,3,9,1,6,OK,396.50,236.47,3-2-6-9
7,3,9,2,9,OK,396.50,458.40,3-2-6-9
8,4,7,0,0,OK,594.00,104.44,4-0-1-5-6-7
8,4,7,1,1,TRIGGER_KEPT,594.00,268.07,4-0-1-5-6-7
8,4,7,2,5,TRIGGER_KEPT,594.00,397.37,4-0-1-5-6-7
8,4,7,3,6,OK,594.00,514.74,4-0-1-5-6-7
8,4,7,4,7,OK,594.00,626.14,4-0-1-5-6-7
9,4,9,0,5,REROUTE,333.14,130.93,5-9
9,4,9,1,9,OK,333.14,330.37,5-9
10,5,9,0,8,REROUTE,294.38,150.95,8-9
10,5,9,1,9,OK,294.38,302.01,8-9
11,6,9,0,9,OK,170.50,171.75,6-9
12,7,0,0,6,OK,435.00,118.57,7-6-5-4-0
12,7,0,1,5,OK,435.00,241.35,7-6-5-4-0
12,7,0,2,4,OK,435.00,341.35,7-6-5-4-0
12,7,0,3,0,OK,435.00,461.33,7-6-5-4-0
13,7,9,0,6,OK,285.50,117.73,7-6-9
13,7,9,1,9,OK,285.50,329.03,7-6-9
14,8,1,0,5,OK,212.50,113.48,8-5-1
14,8,1,1,1,OK,212.50,218.16,8-5-1
15,9,0,0,8,OK,354.59,107.88,9-8-4-0
15,9,0,1,4,OK,354.59,257.21,9-8-4-0
15,9,0,2,0,OK,354.59,371.06,9-8-4-0
16,9,3,0,6,TRIGGER_KEPT,343.50,135.12,9-6-2-3
16,9,3,1,2,OK,343.50,248.96,9-6-2-3
16,9,3,2,3,OK,343.50,365.30,9-6-2-3
0,0,9,0,1,REROUTE,479.23,158.39,1-5-9
0,0,9,1,5,TRIGGER_KEPT,479.23,296.08,1-5-9
0,0,9,2,9,OK,479.23,513.94,1-5-9
1,0,7,0,1,TRIGGER_KEPT,491.50,144.45,0-1-5-6-7
1,0,7,1,5,TRIGGER_KEPT,491.50,277.25,0-1-5-6-7
1,0,7,2,6,OK,491.50,399.71,0-1-5-6-7
1,0,7,3,7,OK,491.50,509.05,0-1-5-6-7
2,0,3,0,1,REROUTE,433.41,150.95,1-2-3
2,0,3,1,2,REROUTE,442.83,323.39,2-3
2,0,3,2,3,OK,442.83,445.68,2-3
3,1,8,0,0,OK,448.92,107.62,1-0-4-8
3,1,8,1,4,TRIGGER_KEPT,448.92,281.60,1-0-4-8
3,1,8,2,8,OK,448.92,446.60,1-0-4-8
4,1,9,0,5,TRIGGER_KEPT,310.09,130.09,1-5-9
4,1,9,1,9,OK,310.09,360.82,1-5-9
5,2,8,0,6,TRIGGER_KEPT,391.00,132.14,2-6-5-8
5,2,8,1,5,OK,391.00,263.47,2-6-5-8
5,2,8,2,8,OK,391.00,435.70,2-6-5-8
6,2,9,0,6,TRIGGER_KEPT,290.50,136.91,2-6-9
6,2,9,1,9,OK,290.50,309.56,2-6-9
7,3,9,0,2,OK,390.50,100.00,3-2-6-9
7,3,9,1,6,REROUTE,432.02,250.41,6-9
7,3,9,2,9,OK,432.02,432.91,6-9
8,4,7,0,5,REROUTE,370.79,128.04,5-6-7
8,4,7,1,6,OK,370.79,252.47,5-6-7
8,4,7,2,7,OK,370.79,364.12,5-6-7
9,4,9,0,5,TRIGGER_KEPT,314.75,132.44,4-5-9
9,4,9,1,9,OK,314.75,368.13,4-5-9
10,5,9,0,9,OK,193.09,203.24,5-9
11,6,9,0,9,OK,166.00,184.92,6-9
12,7,0,0,3,OK,432.50,117.94,7-3-2-1-0
12,7,0,1,2,OK,432.50,217.94,7-3-2-1-0
12,7,0,2,1,REROUTE,461.85,347.32,1-0
12,7,0,3,0,OK,461.85,464.12,1-0
13,7,9,0,6,TRIGGER_KEPT,287.00,131.96,7-6-9
13,7,9,1,9,OK,287.00,302.02,7-6-9
14,8,1,0,5,OK,212.50,113.44,8-5-1
14,8,1,1,1,OK,212.50,214.65,8-5-1
15,9,0,0,8,OK,359.59,102.56,9-8-4-0
15,9,0,1,4,REROUTE,377.35,254.45,4-0
15,9,0,2,0,OK,377.35,380.97,4-0
16,9,3,0,6,OK,372.50,129.02,9-6-7-3
16,9,3,1,7,TRIGGER_KEPT,372.50,241.86,9-6-7-3
16,9,3,2,3,OK,372.50,360.44,9-6-7-3
